Title,Score,Release Date
Banel & Adama,95%,"Aug 6, 2024"
A Quiet Place: Day One,86%,"Jul 30, 2024"
Thelma,99%,"Jul 19, 2024"
Kill,89%,"Jul 23, 2024"
Hit Man,95%,"Jun 7, 2024"
Ghostlight,100%,"Jul 30, 2024"
Deadpool,85%,"Apr 21, 2016"
Wicked Little Letters,80%,"May 7, 2024"
Kingdom of the Planet of the Apes,80%,"Jul 9, 2024"
MaXXXine,72%,"Aug 2, 2024"
Deadpool 2,84%,"Aug 7, 2018"
Touch,92%,"Jul 30, 2024"
Daddio,77%,"Jul 30, 2024"
The Fall Guy,82%,"May 21, 2024"
Civil War,81%,"May 24, 2024"
Late Night with the Devil,97%,"Apr 19, 2024"
Love Lies Bleeding,94%,"Apr 26, 2024"
Logan,93%,"May 16, 2017"
The Bikeriders,80%,"Jul 9, 2024"
Furiosa: A Mad Max Saga,90%,"Jun 25, 2024"
Abigail,83%,"May 7, 2024"
Bone Tomahawk,91%,"Mar 11, 2017"
Monkey Man,89%,"Apr 23, 2024"
Challengers,88%,"May 17, 2024"
I Saw the TV Glow,84%,"Jun 14, 2024"
Young Woman and the Sea,88%,"Jul 19, 2024"
New Life,93%,"May 3, 2024"
Marvel's the Avengers,91%,"Jun 22, 2014"
